"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Alabama","01","1999","1999",787,4430141,17.8,17.6
,"Alabama","01","2000","2000",764,4447100,17.2,17.1
,"Alabama","01","2001","2001",737,4467634,16.5,16.4
,"Alabama","01","2002","2002",724,4480089,16.2,16.1
,"Alabama","01","2003","2003",764,4503491,17.0,16.8
,"Alabama","01","2004","2004",677,4530729,14.9,14.8
,"Alabama","01","2005","2005",731,4569805,16.0,15.9
,"Alabama","01","2006","2006",778,4628981,16.8,16.7
,"Alabama","01","2007","2007",811,4672840,17.4,17.3
,"Alabama","01","2008","2008",819,4718206,17.4,17.3
,"Alabama","01","2009","2009",829,4757938,17.4,17.2
,"Alabama","01","2010","2010",781,4779736,16.3,16.2
,"Alabama","01","2011","2011",784,4802740,16.3,16.0
,"Alabama","01","2012","2012",829,4822023,17.2,17.1
,"Alabama","01","2013","2013",853,4833722,17.6,17.5
,"Alabama","01","2014","2014",809,4849377,16.7,16.8
,"Alabama","01","2015","2015",953,4858979,19.6,19.5
,"Alabama","01","2016","2016",1034,4863300,21.3,21.2
,"Alabama","01","2017","2017",1116,4874747,22.9,22.7
,"Alabama","01","2018","2018",1060,4887871,21.7,21.8
,"Alabama","01","2019","2019",1071,4903185,21.8,22.1
,"Alabama","01","2020","2020",1135,4921532,23.1,23.5
"Total","Alabama","01",,,18846,103604166,18.2,18.1
,"Alaska","02","1999","1999",87,624779,13.9,15.6
,"Alaska","02","2000","2000",115,626932,18.3,17.8
,"Alaska","02","2001","2001",95,633714,15.0,14.9
,"Alaska","02","2002","2002",125,642337,19.5,19.6
,"Alaska","02","2003","2003",120,648414,18.5,19.5
,"Alaska","02","2004","2004",116,659286,17.6,17.3
,"Alaska","02","2005","2005",116,666946,17.4,17.5
,"Alaska","02","2006","2006",111,675302,16.4,17.1
,"Alaska","02","2007","2007",120,680300,17.6,18.1
,"Alaska","02","2008","2008",139,687455,20.2,20.6
,"Alaska","02","2009","2009",102,698895,14.6,14.6
,"Alaska","02","2010","2010",143,710231,20.1,20.3
,"Alaska","02","2011","2011",125,722718,17.3,17.4
,"Alaska","02","2012","2012",129,731449,17.6,17.4
,"Alaska","02","2013","2013",144,735132,19.6,19.8
,"Alaska","02","2014","2014",145,736732,19.7,19.2
,"Alaska","02","2015","2015",175,738432,23.7,23.1
,"Alaska","02","2016","2016",171,741894,23.0,22.5
,"Alaska","02","2017","2017",175,739795,23.7,23.8
,"Alaska","02","2018","2018",151,737438,20.5,20.5
,"Alaska","02","2019","2019",175,731545,23.9,23.9
,"Alaska","02","2020","2020",170,731158,23.3,22.9
"Total","Alaska","02",,,2949,15300884,19.3,19.3
,"Arizona","04","1999","1999",805,5023823,16.0,16.0
,"Arizona","04","2000","2000",788,5130632,15.4,15.4
,"Arizona","04","2001","2001",829,5273477,15.7,15.7
,"Arizona","04","2002","2002",953,5396255,17.7,17.7
,"Arizona","04","2003","2003",837,5510364,15.2,15.1
,"Arizona","04","2004","2004",879,5652404,15.6,15.6
,"Arizona","04","2005","2005",927,5839077,15.9,15.9
,"Arizona","04","2006","2006",973,6029141,16.1,16.1
,"Arizona","04","2007","2007",937,6167681,15.2,15.2
,"Arizona","04","2008","2008",898,6280362,14.3,14.3
,"Arizona","04","2009","2009",849,6343154,13.4,13.4
,"Arizona","04","2010","2010",919,6392017,14.4,14.4
,"Arizona","04","2011","2011",952,6482505,14.7,14.6
,"Arizona","04","2012","2012",933,6553255,14.2,13.9
,"Arizona","04","2013","2013",928,6626624,14.0,13.9
,"Arizona","04","2014","2014",915,6731484,13.6,13.3
,"Arizona","04","2015","2015",956,6828065,14.0,13.6
,"Arizona","04","2016","2016",1081,6931071,15.6,15.0
,"Arizona","04","2017","2017",1124,7016270,16.0,15.6
,"Arizona","04","2018","2018",1122,7171646,15.6,15.0
,"Arizona","04","2019","2019",1123,7278717,15.4,14.9
,"Arizona","04","2020","2020",1235,7421401,16.6,16.2
"Total","Arizona","04",,,20963,138079425,15.2,15.0
,"Arkansas","05","1999","1999",383,2651860,14.4,14.4
,"Arkansas","05","2000","2000",412,2673400,15.4,15.3
,"Arkansas","05","2001","2001",406,2691571,15.1,15.1
,"Arkansas","05","2002","2002",438,2705927,16.2,16.2
,"Arkansas","05","2003","2003",404,2724816,14.8,14.7
,"Arkansas","05","2004","2004",400,2749686,14.5,14.5
,"Arkansas","05","2005","2005",437,2781097,15.7,15.6
,"Arkansas","05","2006","2006",424,2821761,15.0,15.1
,"Arkansas","05","2007","2007",423,2848650,14.8,15.0
,"Arkansas","05","2008","2008",444,2874554,15.4,15.5
,"Arkansas","05","2009","2009",463,2896843,16.0,16.1
,"Arkansas","05","2010","2010",417,2915918,14.3,14.3
,"Arkansas","05","2011","2011",458,2937979,15.6,15.9
,"Arkansas","05","2012","2012",485,2949131,16.4,16.4
,"Arkansas","05","2013","2013",499,2959373,16.9,16.7
,"Arkansas","05","2014","2014",496,2966369,16.7,16.6
,"Arkansas","05","2015","2015",517,2978204,17.4,16.8
,"Arkansas","05","2016","2016",535,2988248,17.9,17.5
,"Arkansas","05","2017","2017",607,3004279,20.2,20.1
,"Arkansas","05","2018","2018",559,3013825,18.5,18.4
