State,Year,Income,Unemployment,Population_Density,AgeAdj_Rate,z_Income,z_Unemployment,z_Population_Density,z_AgeAdj_Rate
Alabama,2000.0,60570,4.6,33.8990592376246,17.1,-1.0135656822700327,-0.4973918271699921,-0.21467617058791497,1.1719522782928742
Alabama,2001.0,58790,5.1,33.8990592376246,16.4,-1.1599429449151566,-0.25008140613978735,-0.21467617058791497,1.0211174932222868
Alabama,2002.0,62100,5.9,33.8990592376246,16.1,-0.8877470239289993,0.14561526750854065,-0.21467617058791497,0.9564740139063218
Alabama,2003.0,60270,6.0,33.8990592376246,16.8,-1.0382360074349413,0.19507735171458143,-0.21467617058791497,1.1073087989769084
Alabama,2004.0,57810,5.7,33.8990592376246,14.8,-1.2405326737871911,0.04669109909645866,-0.21467617058791497,0.6763522702038035
Alabama,2005.0,56980,4.5,33.8990592376246,15.9,-1.3087872400767713,-0.5468539113760329,-0.21467617058791497,0.913378361029011
Alabama,2006.0,56570,4.0,33.8990592376246,16.7,-1.3425033511354796,-0.7941643324062376,-0.21467617058791497,1.0857609725382529
Alabama,2007.0,61350,4.0,33.8990592376246,17.3,-0.9494228368412706,-0.7941643324062376,-0.21467617058791497,1.2150479311701845
Alabama,2008.0,62350,5.7,33.8990592376246,17.3,-0.8671884196249089,0.04669109909645866,-0.21467617058791497,1.2150479311701845
Alabama,2009.0,56280,11.0,33.8990592376246,17.2,-1.3663513321282246,2.6681815620166294,-0.21467617058791497,1.193500104731529
Alabama,2010.0,56840,10.5,36.434654899644,16.2,-1.320300058487062,2.4208711409864243,-0.209780142858879,0.9780218403449765
Alabama,2011.0,57360,9.6,36.434654899644,16.0,-1.2775381615345538,1.9757123831320555,-0.209780142858879,0.9349261874676662
Alabama,2012.0,57430,8.0,36.434654899644,17.1,-1.2717817523294086,1.1843190358354005,-0.209780142858879,1.1719522782928742
Alabama,2013.0,61770,7.2,36.434654899644,17.5,-0.9148843816103986,0.7886223621870729,-0.209780142858879,1.2581435840474948
Alabama,2014.0,54420,6.8,36.434654899644,16.8,-1.5193073481506574,0.590774025362909,-0.209780142858879,1.1073087989769084
Alabama,2015.0,57330,6.1,36.434654899644,19.5,-1.2800051940510446,0.24453943592062222,-0.209780142858879,1.6891001128205998
