"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Alabama","01","2000","2000",764,4447100,17.2
,"Alabama","01","2001","2001",737,4467634,16.5
,"Alabama","01","2002","2002",724,4480089,16.2
,"Alabama","01","2003","2003",764,4503491,17.0
,"Alabama","01","2004","2004",677,4530729,14.9
,"Alabama","01","2005","2005",731,4569805,16.0
,"Alabama","01","2006","2006",778,4628981,16.8
,"Alabama","01","2007","2007",811,4672840,17.4
,"Alabama","01","2008","2008",819,4718206,17.4
,"Alabama","01","2009","2009",829,4757938,17.4
,"Alabama","01","2010","2010",781,4779736,16.3
,"Alabama","01","2011","2011",784,4802740,16.3
,"Alabama","01","2012","2012",829,4822023,17.2
,"Alabama","01","2013","2013",853,4833722,17.6
,"Alabama","01","2014","2014",809,4849377,16.7
,"Alabama","01","2015","2015",953,4858979,19.6
,"Alabama","01","2016","2016",1034,4863300,21.3
,"Alabama","01","2017","2017",1116,4874747,22.9
,"Alabama","01","2018","2018",1060,4887871,21.7
,"Alabama","01","2019","2019",1071,4903185,21.8
,"Alabama","01","2020","2020",1135,4921532,23.1
"Total","Alabama","01",,,18059,99174025,18.2
,"Alaska","02","2000","2000",115,626932,18.3
,"Alaska","02","2001","2001",95,633714,15.0
,"Alaska","02","2002","2002",125,642337,19.5
,"Alaska","02","2003","2003",120,648414,18.5
,"Alaska","02","2004","2004",116,659286,17.6
,"Alaska","02","2005","2005",116,666946,17.4
,"Alaska","02","2006","2006",111,675302,16.4
,"Alaska","02","2007","2007",120,680300,17.6
,"Alaska","02","2008","2008",139,687455,20.2
,"Alaska","02","2009","2009",102,698895,14.6
,"Alaska","02","2010","2010",143,710231,20.1
,"Alaska","02","2011","2011",125,722718,17.3
,"Alaska","02","2012","2012",129,731449,17.6
,"Alaska","02","2013","2013",144,735132,19.6
,"Alaska","02","2014","2014",145,736732,19.7
,"Alaska","02","2015","2015",175,738432,23.7
,"Alaska","02","2016","2016",171,741894,23.0
,"Alaska","02","2017","2017",175,739795,23.7
,"Alaska","02","2018","2018",151,737438,20.5
,"Alaska","02","2019","2019",175,731545,23.9
,"Alaska","02","2020","2020",170,731158,23.3
"Total","Alaska","02",,,2862,14676105,19.5
,"Arizona","04","2000","2000",788,5130632,15.4
,"Arizona","04","2001","2001",829,5273477,15.7
,"Arizona","04","2002","2002",953,5396255,17.7
,"Arizona","04","2003","2003",837,5510364,15.2
,"Arizona","04","2004","2004",879,5652404,15.6
,"Arizona","04","2005","2005",927,5839077,15.9
,"Arizona","04","2006","2006",973,6029141,16.1
,"Arizona","04","2007","2007",937,6167681,15.2
,"Arizona","04","2008","2008",898,6280362,14.3
,"Arizona","04","2009","2009",849,6343154,13.4
,"Arizona","04","2010","2010",919,6392017,14.4
,"Arizona","04","2011","2011",952,6482505,14.7
,"Arizona","04","2012","2012",933,6553255,14.2
,"Arizona","04","2013","2013",928,6626624,14.0
,"Arizona","04","2014","2014",915,6731484,13.6
,"Arizona","04","2015","2015",956,6828065,14.0
,"Arizona","04","2016","2016",1081,6931071,15.6
,"Arizona","04","2017","2017",1124,7016270,16.0
,"Arizona","04","2018","2018",1122,7171646,15.6
,"Arizona","04","2019","2019",1123,7278717,15.4
,"Arizona","04","2020","2020",1235,7421401,16.6
"Total","Arizona","04",,,20158,133055602,15.2
,"Arkansas","05","2000","2000",412,2673400,15.4
,"Arkansas","05","2001","2001",406,2691571,15.1
,"Arkansas","05","2002","2002",438,2705927,16.2
,"Arkansas","05","2003","2003",404,2724816,14.8
,"Arkansas","05","2004","2004",400,2749686,14.5
,"Arkansas","05","2005","2005",437,2781097,15.7
,"Arkansas","05","2006","2006",424,2821761,15.0
,"Arkansas","05","2007","2007",423,2848650,14.8
,"Arkansas","05","2008","2008",444,2874554,15.4
,"Arkansas","05","2009","2009",463,2896843,16.0
,"Arkansas","05","2010","2010",417,2915918,14.3
,"Arkansas","05","2011","2011",458,2937979,15.6
,"Arkansas","05","2012","2012",485,2949131,16.4
,"Arkansas","05","2013","2013",499,2959373,16.9
,"Arkansas","05","2014","2014",496,2966369,16.7
,"Arkansas","05","2015","2015",517,2978204,17.4
,"Arkansas","05","2016","2016",535,2988248,17.9
,"Arkansas","05","2017","2017",607,3004279,20.2
,"Arkansas","05","2018","2018",559,3013825,18.5
,"Arkansas","05","2019","2019",571,3017804,18.9
,"Arkansas","05","2020","2020",667,3030522,22.0
"Total","Arkansas","05",,,10062,60529957,16.6
,"California","06","2000","2000",3046,33871648,9.0
,"California","06","2001","2001",3142,34479458,9.1
,"California","06","2002","2002",3360,34871843,9.6
,"California","06","2003","2003",3388,35253159,9.6
,"California","06","2004","2004",3240,35574576,9.1
,"California","06","2005","2005",3368,35827943,9.4
,"California","06","2006","2006",3276,36021202,9.1
,"California","06","2007","2007",3188,36250311,8.8
,"California","06","2008","2008",3101,36604337,8.5
,"California","06","2009","2009",3027,36961229,8.2
,"California","06","2010","2010",2871,37253956,7.7
,"California","06","2011","2011",2921,37691912,7.7
,"California","06","2012","2012",2956,38041430,7.8
,"California","06","2013","2013",2929,38332521,7.6
,"California","06","2014","2014",2853,38802500,7.4
,"California","06","2015","2015",2992,39144818,7.6
,"California","06","2016","2016",3110,39250017,7.9
,"California","06","2017","2017",3098,39536653,7.8
,"California","06","2018","2018",2959,39557045,7.5
,"California","06","2019","2019",2869,39512223,7.3
,"California","06","2020","2020",3349,39368078,8.5
"Total","California","06",,,65043,782206859,8.3
,"Colorado","08","2000","2000",440,4301261,10.2
,"Colorado","08","2001","2001",503,4425687,11.4
,"Colorado","08","2002","2002",508,4490406,11.3
,"Colorado","08","2003","2003",491,4528732,10.8
,"Colorado","08","2004","2004",542,4575013,11.8
,"Colorado","08","2005","2005",525,4631888,11.3
,"Colorado","08","2006","2006",489,4720423,10.4
,"Colorado","08","2007","2007",499,4803868,10.4
,"Colorado","08","2008","2008",508,4889730,10.4
,"Colorado","08","2009","2009",575,4972195,11.6
,"Colorado","08","2010","2010",538,5029196,10.7
,"Colorado","08","2011","2011",561,5116796,11.0
,"Colorado","08","2012","2012",666,5187582,12.8
,"Colorado","08","2013","2013",611,5268367,11.6
,"Colorado","08","2014","2014",653,5355866,12.2
,"Colorado","08","2015","2015",689,5456574,12.6
,"Colorado","08","2016","2016",793,5540545,14.3
,"Colorado","08","2017","2017",760,5607154,13.6
,"Colorado","08","2018","2018",864,5695564,15.2
,"Colorado","08","2019","2019",825,5758736,14.3
,"Colorado","08","2020","2020",900,5807719,15.5
"Total","Colorado","08",,,12940,106163302,12.2
,"Connecticut","09","2000","2000",179,3405565,5.3
,"Connecticut","09","2001","2001",191,3432835,5.6
,"Connecticut","09","2002","2002",146,3458749,4.2
,"Connecticut","09","2003","2003",153,3484336,4.4
,"Connecticut","09","2004","2004",172,3496094,4.9
